Analysis,ICPMS_connect,Sample,Mica_type,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,LiO2,Cl,F ,Total,"O=F,Cl_Wt%",Volatitle TOTAL_Wt%,SiO2_Mol Prop,TiO2_Mol Prop,Al2O3_Mol Prop,FeO_Mol Prop,MnO_Mol Prop,MgO_Mol Prop,CaO_Mol Prop,Na2O_Mol Prop,K2O_Mol Prop,LiO2_Mol Prop,Cl_Mol Prop,F_Mol Prop,SiO2_At Prop O,TiO2_At Prop O,Al2O3_At Prop O,FeO_At Prop O,MnO_At Prop O,MgO_At Prop O,CaO_At Prop O,Na2O_At Prop O,K2O_At Prop O,LiO2_At Prop O,Cl_At Prop O,F_At Prop O,Total_At Prop O,SiO2_No Anions,TiO2_No Anions,Al2O3_No Anions,FeO_No Anions,MnO_No Anions,MgO_No Anions,CaO_No Anions,Na2O_No Anions,K2O_No Anions,LiO2_No Anions,Cl_No Anions,F_No Anions,Total_No Anions,Si_,Ti_,Al_,Fe(ii)_,Mn_,Mg_,Ca_,Na_,K_,Li_,Cl_,F_,TOTAL_,Si_APFU,Al (IV)_APFU,Al (VI)_APFU,Ti_APFU,Fe(ii)_APFU,Mn_APFU,Mg_APFU,Ca_APFU,Na_APFU,K_APFU,Li_APFU,Cl_APFU,F_APFU,TOTAL_APFU,OH_APFU,XMg_APFU,Xsid_APFU,Xan_APFU,F/(F + OH)_APFU
01A02C_30,01A02C_t_ms-10,01A02C,5,45.3304,0.3661,27.8343,2.1284,0.0859,2.0941,0.014,0.4249,8.8901,1.68813966,0.0085,0.7855,87.9757,0.333,87.643,0.755,0.005,0.273,0.03,0.001,0.052,0,0.007,0.094,0.043,0,0.041,1.509,0.009,0.819,0.03,0.001,0.052,0,0.007,0.094,0.087,0,0.041,2.629,12.628,0.077,6.854,0.248,0.01,0.435,0.002,0.057,0.79,0.726,0.002,0.346,8.368,6.314,0.038,4.569,0.248,0.01,0.435,0.002,0.115,1.58,0.363,0.002,0.346,13.673,6.314,1.686,2.883,0.038,0.248,0.01,0.435,0.002,0.115,1.58,0.363,0.002,0.346,13.673,3.652,0.120313407,0.813379299,0.066307295,0.086535901
01A05A_1,01A05A_t_lrg-2,01A05A,2,44.8354,0.0533,37.9831,1.1103,0.1059,0.0475,0.0042,0.2411,8.5286,0.225693249,0.0151,0.2314,93.2723,0.101,93.171,0.746,0.001,0.373,0.015,0.001,0.001,0,0.004,0.091,0.006,0,0.012,1.493,0.001,1.118,0.015,0.001,0.001,0,0.004,0.091,0.012,0,0.012,2.742,11.975,0.011,8.967,0.124,0.012,0.009,0.001,0.031,0.726,0.093,0.003,0.098,8.023,5.988,0.005,5.978,0.124,0.012,0.009,0.001,0.062,1.453,0.047,0.003,0.098,13.679,5.988,2.012,3.966,0.005,0.124,0.012,0.009,0.001,0.062,1.453,0.047,0.003,0.098,13.679,3.899,0.002297434,1.139311124,-0.141608557,0.024450146
01A05A_2,01A05A_t_lrg-2,01A05A,2,44.9184,0.0365,38.5146,0.9858,0.1028,0.0218,0,0.2224,8.5785,0.225693249,0.0061,0.2418,93.7238,0.103,93.621,0.748,0,0.378,0.014,0.001,0.001,0,0.004,0.091,0.006,0,0.013,1.495,0.001,1.133,0.014,0.001,0.001,0,0.004,0.091,0.012,0,0.013,2.758,11.928,0.007,9.04,0.109,0.012,0.004,0,0.029,0.726,0.092,0.001,0.102,7.977,5.964,0.004,6.027,0.109,0.012,0.004,0,0.057,1.453,0.046,0.001,0.102,13.676,5.964,2.036,3.991,0.004,0.109,0.012,0.004,0,0.057,1.453,0.046,0.001,0.102,13.676,3.897,0.001047433,1.147584863,-0.148632296,0.025389048
01A05A_3,01A05A_t_lrg-1,01A05A,2,44.4255,0.0145,38.9077,0.6861,0.0758,0.0169,0,0.4903,8.5682,0.263373429,0.0075,0.2169,93.4454,0.093,93.352,0.739,0,0.382,0.01,0.001,0,0,0.008,0.091,0.007,0,0.011,1.479,0,1.145,0.01,0.001,0,0,0.008,0.091,0.014,0,0.011,2.753,11.817,0.003,9.147,0.076,0.009,0.003,0,0.063,0.727,0.108,0.002,0.091,7.99,5.908,0.001,6.098,0.076,0.009,0.003,0,0.126,1.454,0.054,0.002,0.091,13.73,5.908,2.092,4.007,0.001,0.076,0.009,0.003,0,0.126,1.454,0.054,0.002,0.091,13.73,3.907,0.000817998,1.159694826,-0.160512823,0.022814019
01A05A_4,01A05A_t_lrg-2,01A05A,2,45.1136,0.0193,37.7834,1.1426,0.1297,0.0257,0,0.3764,8.4629,0.225693249,0.0108,0.2166,93.3438,0.094,93.25,0.751,0,0.371,0.016,0.002,0.001,0,0.006,0.09,0.006,0,0.011,1.502,0,1.112,0.016,0.002,0.001,0,0.006,0.09,0.012,0,0.011,2.746,12.033,0.004,8.908,0.127,0.015,0.005,0,0.049,0.72,0.093,0.002,0.091,8.013,6.017,0.002,5.938,0.127,0.015,0.005,0,0.097,1.44,0.046,0.002,0.091,13.687,6.017,1.983,3.955,0.002,0.127,0.015,0.005,0,0.097,1.44,0.046,0.002,0.091,13.687,3.906,0.001245041,1.133925838,-0.135170879,0.022849606
01A05A_5,01A05A_t_lrg-1,01A05A,2,45.317,0.0285,38.9167,0.8058,0.0431,0.009,0,0.5218,8.6127,0.263373429,0.0098,0.2168,94.4995,0.093,94.406,0.754,0,0.382,0.011,0.001,0,0,0.008,0.091,0.007,0,0.011,1.509,0.001,1.145,0.011,0.001,0,0,0.008,0.091,0.014,0,0.011,2.786,11.914,0.006,9.043,0.089,0.005,0.002,0,0.066,0.722,0.107,0.002,0.09,7.898,5.957,0.003,6.029,0.089,0.005,0.002,0,0.133,1.444,0.053,0.002,0.09,13.715,5.957,2.043,3.986,0.003,0.089,0.005,0.002,0,0.133,1.444,0.053,0.002,0.09,13.715,3.908,0.000431872,1.149168237,-0.149600108,0.022541767
01A05A_11,01A05A_t-68,01A05A,2,43.8768,0.1483,38.3333,0.7768,0.0755,0.0537,0,0.4759,9.2656,0.284869996,0.0119,0.2122,93.2758,0.092,93.184,0.73,0.002,0.376,0.011,0.001,0.001,0,0.008,0.098,0.007,0,0.011,1.461,0.004,1.128,0.011,0.001,0.001,0,0.008,0.098,0.015,0,0.011,2.732,11.763,0.03,9.083,0.087,0.009,0.011,0,0.062,0.792,0.118,0.003,0.09,8.053,5.881,0.015,6.055,0.087,0.009,0.011,0,0.124,1.584,0.059,0.003,0.09,13.825,5.881,2.119,3.937,0.015,0.087,0.009,0.011,0,0.124,1.584,0.059,0.003,0.09,13.825,3.907,0.002644388,1.156223155,-0.158867543,0.022500462
01A05A_12,01A05A_t-66,01A05A,2,44.1017,0.0258,37.4778,0.7742,0.072,0.0039,0,0.5138,9.9598,0.190359251,0.0028,0.2729,93.2825,0.116,93.167,0.734,0,0.368,0.011,0.001,0,0,0.008,0.106,0.005,0,0.014,1.468,0.001,1.103,0.011,0.001,0,0,0.008,0.106,0.01,0,0.014,2.714,11.899,0.005,8.938,0.087,0.008,0.001,0,0.067,0.857,0.079,0.001,0.116,8.105,5.949,0.003,5.958,0.087,0.008,0.001,0,0.134,1.714,0.04,0.001,0.116,13.895,5.949,2.051,3.908,0.003,0.087,0.008,0.001,0,0.134,1.714,0.04,0.001,0.116,13.895,3.883,0.000195755,1.143486353,-0.143682108,0.029108037
01A05A_13,01A05A_t-59,01A05A,2,43.9458,0.1497,38.2454,0.7831,0.084,0.0565,0,0.4786,9.336,0.269888707,0.005,0.3835,93.492,0.163,93.329,0.731,0.002,0.375,0.011,0.001,0.001,0,0.008,0.099,0.007,0,0.02,1.463,0.004,1.125,0.011,0.001,0.001,0,0.008,0.099,0.014,0,0.02,2.736,11.762,0.03,9.048,0.088,0.01,0.011,0,0.062,0.797,0.111,0.001,0.162,8.04,5.881,0.015,6.032,0.088,0.01,0.011,0,0.124,1.594,0.056,0.001,0.162,13.81,5.881,2.119,3.913,0.015,0.088,0.01,0.011,0,0.124,1.594,0.056,0.001,0.162,13.81,3.837,0.002792807,1.153906756,-0.156699563,0.040581991
01A05A_14,01A05A_t-36,01A05A,4,43.8764,0.0399,36.9688,0.7495,0.0821,0.03,0.0124,0.5334,9.0758,0.27275417,0.027,0.1265,91.5278,0.059,91.468,0.73,0,0.363,0.01,0.001,0.001,0,0.009,0.096,0.007,0.001,0.007,1.461,0.001,1.088,0.01,0.001,0.001,0,0.009,0.096,0.014,0.001,0.007,2.685,11.97,0.008,8.914,0.085,0.009,0.006,0.002,0.071,0.79,0.115,0.006,0.055,8.195,5.985,0.004,5.943,0.085,0.009,0.006,0.002,0.141,1.579,0.057,0.006,0.055,13.812,5.985,2.015,3.927,0.004,0.085,0.009,0.006,0.002,0.141,1.579,0.057,0.006,0.055,13.812,3.939,0.00151277,1.137086593,-0.138599363,0.01366166
